ISIN,Coupon,Maturity Date,6-Jan Dirty Price,7-Jan Dirty Price,8-Jan Dirty Price,9-Jan Dirty Price,10-Jan Dirty Price,13-Jan Dirty Price,14-Jan Dirty Price,15-Jan Dirty Price,16-Jan Dirty Price,17-Jan Dirty Price
CA135087K528,0.0125,2025-03-01,100.0382191780822,100.0382191780822,100.04821917808219,100.0382191780822,100.04821917808219,100.0382191780822,100.0382191780822,100.0782191780822,100.0882191780822,100.1082191780822
CA135087K940,0.005,2025-09-01,98.52328767123288,98.53328767123287,98.52328767123288,98.54328767123287,98.49328767123288,98.48328767123287,98.48328767123287,98.52328767123288,98.59328767123287,98.62328767123287
CA135087L518,0.0025,2026-03-01,97.05164383561643,97.04164383561644,97.03164383561644,97.06164383561644,96.96164383561644,96.97164383561643,96.86164383561643,96.96164383561644,97.07164383561644,97.12164383561644
CA135087L930,0.01,2026-09-01,97.25657534246575,97.23657534246574,97.24657534246575,97.27657534246575,97.10657534246575,97.01657534246574,96.95657534246574,97.09657534246574,97.27657534246575,97.31657534246574
CA135087M847,0.0125,2027-03-01,96.9282191780822,96.8982191780822,96.8882191780822,96.93821917808219,96.6982191780822,96.5882191780822,96.4982191780822,96.6682191780822,96.90821917808219,96.9482191780822
CA135087N837,0.0275,2027-09-01,100.30808219178081,100.23808219178082,100.21808219178082,100.25808219178082,99.94808219178081,99.80808219178081,99.69808219178081,99.87808219178082,100.17808219178082,100.20808219178082
CA135087P576,0.035,2028-03-01,102.68301369863013,102.68301369863013,102.56301369863014,102.58301369863014,102.38301369863014,102.12301369863015,101.88301369863014,102.10301369863014,102.44301369863014,102.51301369863015
CA135087Q491,0.0325,2028-09-01,101.9013698630137,101.9413698630137,101.7913698630137,101.7413698630137,101.59136986301371,101.2913698630137,100.9913698630137,101.2213698630137,101.7213698630137,101.8213698630137
CA135087Q988,0.04,2029-03-01,105.05630136986301,104.99630136986302,104.88630136986302,104.85630136986302,104.51630136986302,104.27630136986302,103.97630136986301,104.22630136986301,104.78630136986301,104.88630136986302
CA135087R895,0.035,2029-09-01,103.08301369863014,103.00301369863014,102.90301369863015,102.84301369863014,102.45301369863014,102.14301369863014,101.86301369863014,102.13301369863014,102.71301369863014,102.83301369863014
CA135087S471,0.0275,2030-03-01,99.48808219178082,99.25808219178082,99.20808219178082,99.20808219178082,98.65808219178082,98.28808219178082,98.06808219178082,98.45808219178082,99.06808219178082,99.14808219178082
