ISIN,Issue date,Maturity Date,Coupon,6-Jan,7-Jan,8-Jan,9-Jan,10-Jan,13-Jan,14-Jan,15-Jan,16-Jan,17-Jan
CA135087R226,11/1/2023,2/1/2026,4.50%,101.58,101.58,101.56,101.58,101.46,101.39,101.35,101.42,101.52,101.54
CA135087R556,2/12/2024,5/1/2026,4.00%,101.28,101.31,101.27,101.28,101.22,101.09,100.99,101.09,101.22,101.24
CA135087R978,5/6/2024,8/3/2026,4.00%,101.52,101.57,101.53,101.55,101.46,101.32,101.2,101.32,101.49,101.51
CA135087S398,8/2/2024,11/1/2026,3.25%,100.47,100.42,100.42,100.46,100.23,100.13,100.06,100.2,100.41,100.42
CA135087S547,11/1/2024,2/1/2027,3%,100.11,100.14,100.08,100.1,99.96,99.81,99.67,99.81,100.03,100.07
CA135087VH40,8/2/1994,6/1/2025,9%,102.41,102.31,102.37,102.27,102.25,102.16,102.14,102.14,102.17,102.17
CA135087VW17,5/1/1996,6/1/2027,8%,111.8,111.85,111.76,111.76,111.48,111.33,111.13,111.41,111.51,111.52
CA135087P329,8/8/2022,12/1/2032,2.50%,95.42,95.19,94.79,94.84,94.38,93.93,93.52,93.94,94.64,94.95
CA135087Q491,4/21/2023,9/1/2028,3.25%,101.1,101.14,100.99,100.94,100.79,100.49,100.19,100.42,100.92,101.02
CA135087H235,8/1/2017,6/1/2028,2.00%,97.14,97.07,96.97,97,96.71,96.48,96.3,96.55,96.97,97.08
CA135087L443,10/5/2020,12/1/2030,0.50%,86.35,86.35,86.12,86.09,85.76,85.42,85.04,85.31,85.9,96.06
CA135087N266,10/25/2021,12/1/2031,1.50%,90.04,89.9,89.7,89.58,89.26,88.85,88.42,88.78,89.4,89.69
CA135087S216,7/12/2024,12/1/2034,3.25%,99.99,99.64,99.31,99.42,98.68,98.12,97.64,98.32,99.11,99.51
CA135087M276,4/26/2021,6/1/2031,1.50%,90.89,90.79,90.58,90.48,90.14,89.74,89.31,89.65,90.35,90.5
CA135087R481,12/27/2023,6/1/2034,3.00%,98.1,97.75,97.44,97.47,96.78,96.3,95.85,96.44,97.26,97.6
CA135087S471,10/3/2024,3/1/2030,2.75%,98.81,98.58,98.53,98.53,97.98,97.61,97.39,97.78,98.39,98.47
CA135087Q988,10/13/2023,3/1/2029,4.00%,104.07,104.01,103.9,103.87,103.53,103.29,102.99,103.24,103.8,103.9
CA135087P576,10/21/2022,3/1/2028,3.50%,101.82,101.82,101.7,101.72,101.52,101.26,101.02,101.24,101.58,101.65
CA135087R713,3/1/2024,3/1/2034,3.50%,102.19,101.85,101.54,101.54,100.86,100.37,99.92,100.5,101.32,101.66
CA135087N597,3/16/2022,6/1/2032,2.00%,92.51,92.32,92.13,92.02,91.59,91.19,90.79,91.18,91.86,92.11
CA135087XG49,10/15/2001,6/1/2033,5.75%,118.37,118.27,111.76,118.335,117.27,116.58,115.99,116.58,117.43,117.76
CA135087Q723,6/26/2023,12/1/2033,3.25%,100.21,99.97,99.66,99.5,99.04,98.55,98.06,98.49,99.29,99.65
CA135087N670,3/29/2022,12/1/2029,2.25%,96.6,96.63,96.42,96.34,96.25,95.77,95.38,95.65,96.22,96.35
CA135087R895,4/8/2024,9/1/2029,3.50%,102.22,102.14,102.04,101.98,101.59,101.28,101,101.27,101.85,101.97
CA135087J397,7/27/2018,6/1/2029,2.25%,97.44,97.48,97.28,97.2,96.97,96.65,96.32,96.57,97.11,97.23
CA135087WL43,2/2/1998,6/1/2029,5.75%,111.69,111.54,111.45,111.37,110.95,110.62,110.36,110.64,111.21,111.33
